Date,Time,FTP,Open,Close,Volume,Bid
06-01-2020,14:12:14,1503.05,1520,1537.15,8744488,1503
06-01-2020,14:12:18,1503.05,1520,1537.15,8747233,1503
06-01-2020,14:12:24,1503,1520,1537.15,8748120,1503
06-01-2020,14:12:29,1502.6,1520,1537.15,8751020,1503
06-01-2020,14:12:33,1502.9,1520,1537.15,8753698,1503
06-01-2020,14:12:38,1502.9,1520,1537.15,8754332,1503
06-01-2020,14:12:43,1502.9,1520,1537.15,8754971,1503
06-01-2020,14:12:48,1502.95,1520,1537.15,8755639,1503
06-01-2020,14:12:52,1502.9,1520,1537.15,8756209,1503
06-01-2020,14:12:57,1502.95,1520,1537.15,8757461,1502.75
06-01-2020,14:13:02,1502.9,1520,1537.15,8757806,1502.75
06-01-2020,14:13:06,1502.85,1520,1537.15,8758111,1502.75
06-01-2020,14:13:12,1502.9,1520,1537.15,8758505,1502.75
06-01-2020,14:13:16,1502.3,1520,1537.15,8766253,1502.75
06-01-2020,14:13:22,1501.75,1520,1537.15,8767037,1502.75
06-01-2020,14:13:27,1501.8,1520,1537.15,8768115,1502.75
06-01-2020,14:13:32,1501.45,1520,1537.15,8769614,1502.75
06-01-2020,14:13:37,1501.05,1520,1537.15,8770086,1502.75
06-01-2020,14:13:42,1501.1,1520,1537.15,8774937,1502.75
06-01-2020,14:13:47,1501.45,1520,1537.15,8775638,1501.05
06-01-2020,14:13:51,1501.05,1520,1537.15,8776699,1501.05
06-01-2020,14:13:56,1501.6,1520,1537.15,8781772,1501.05
06-01-2020,14:14:01,1501.8,1520,1537.15,8781715,1501.05
06-01-2020,14:14:06,1501.6,1520,1537.15,8783480,1501.05
06-01-2020,14:14:10,1501.7,1520,1537.15,8783776,1501.05
06-01-2020,14:14:15,1501.2,1520,1537.15,8785688,1501.05
06-01-2020,14:14:19,1501.2,1520,1537.15,8786179,1501.05
06-01-2020,14:14:22,1501.2,1520,1537.15,8787075,1501.05
06-01-2020,14:14:27,1500.95,1520,1537.15,8793648,1501.05
06-01-2020,14:14:30,1501,1520,1537.15,8795691,1500.6
06-01-2020,14:14:34,1501,1520,1537.15,8796355,1500.6
06-01-2020,14:14:37,1500.95,1520,1537.15,8796635,1500.6
06-01-2020,14:14:41,1500.8,1520,1537.15,8797264,1500.6
06-01-2020,14:14:45,1500.9,1520,1537.15,8797957,1500.6
06-01-2020,14:14:49,1500.6,1520,1537.15,8798757,1500.6
06-01-2020,14:14:52,1501,1520,1537.15,8799612,1500.6
06-01-2020,14:14:56,1500.7,1520,1537.15,8799622,1500.6
06-01-2020,14:14:59,1500.7,1520,1537.15,8802684,1500.6
06-01-2020,14:15:03,1500.5,1520,1537.15,8804428,1500.6
06-01-2020,14:15:08,1500.6,1520,1537.15,8810355,1500.6
06-01-2020,14:15:12,1501.3,1520,1537.15,8810462,1500.6
06-01-2020,14:15:16,1501.3,1520,1537.15,8810791,1500.6
06-01-2020,14:15:21,1501.2,1520,1537.15,8811104,1500.6
06-01-2020,14:15:26,1501.25,1520,1537.15,8811796,1501
06-01-2020,14:15:31,1500.75,1520,1537.15,8815515,1501
06-01-2020,14:15:35,1500.75,1520,1537.15,8816100,1501
06-01-2020,14:15:40,1500.75,1520,1537.15,8817023,1501
06-01-2020,14:15:45,1500.6,1520,1537.15,8817635,1501
06-01-2020,14:15:50,1500.5,1520,1537.15,8818957,1501
06-01-2020,14:15:55,1500.7,1520,1537.15,8820698,1501
06-01-2020,14:15:59,1500.5,1520,1537.15,8826838,1501
06-01-2020,14:16:04,1500.05,1520,1537.15,8832914,1501
06-01-2020,14:16:10,1500.05,1520,1537.15,8850001,1501
06-01-2020,14:16:14,1500.1,1520,1537.15,8854369,1500.25
06-01-2020,14:16:19,1500.5,1520,1537.15,8855787,1500.25
06-01-2020,14:16:24,1500.5,1520,1537.15,8857626,1500.25
06-01-2020,14:16:29,1500.3,1520,1537.15,8859805,1500.25
06-01-2020,14:16:34,1500.5,1520,1537.15,8861358,1500.25
06-01-2020,14:16:38,1500.3,1520,1537.15,8878045,1500.25
06-01-2020,14:16:43,1500.05,1520,1537.15,8900765,1500.25
06-01-2020,14:16:47,1500.65,1520,1537.15,8908132,1500.25
06-01-2020,14:16:54,1501.1,1520,1537.15,8908734,1500.25
06-01-2020,14:16:59,1500.3,1520,1537.15,8925627,1500.25
06-01-2020,14:17:04,1501.5,1520,1537.15,8929678,1500.75
06-01-2020,14:17:09,1501,1520,1537.15,8933076,1500.75
06-01-2020,14:17:14,1501,1520,1537.15,8945856,1500.75
06-01-2020,14:17:20,1501,1520,1537.15,8946764,1500.75
06-01-2020,14:17:25,1501.05,1520,1537.15,8950808,1500.75
06-01-2020,14:17:32,1501.35,1520,1537.15,8952701,1500.75
06-01-2020,14:17:38,1501.85,1520,1537.15,8954927,1500.75
06-01-2020,14:17:43,1501.4,1520,1537.15,8956729,1500.75
06-01-2020,14:17:49,1501.95,1520,1537.15,8957480,1501.35
06-01-2020,14:17:54,1501.4,1520,1537.15,8962284,1501.35
06-01-2020,14:17:59,1501.9,1520,1537.15,8962670,1501.35
06-01-2020,14:18:04,1501.65,1520,1537.15,8964771,1501.35
06-01-2020,14:18:10,1501.25,1520,1537.15,8966075,1501.35
06-01-2020,14:18:16,1501.2,1520,1537.15,8967853,1501.35
06-01-2020,14:18:20,1501.25,1520,1537.15,8969533,1501.35
06-01-2020,14:18:24,1501.05,1520,1537.15,8970166,1501.35
06-01-2020,14:18:28,1501.05,1520,1537.15,8970751,1501.35
06-01-2020,14:18:33,1501,1520,1537.15,8976314,1501.35
06-01-2020,14:18:37,1500.45,1520,1537.15,8977534,1500.6
06-01-2020,14:18:42,1500.15,1520,1537.15,8980985,1500.6
06-01-2020,14:18:46,1500.05,1520,1537.15,8983053,1500.6
06-01-2020,14:18:50,1500,1520,1537.15,8985103,1500.6
06-01-2020,14:18:55,1500.1,1520,1537.15,8985510,1500.6
06-01-2020,14:19:00,1500.05,1520,1537.15,8990678,1500.6
06-01-2020,14:19:04,1500.3,1520,1537.15,8993383,1500.6
06-01-2020,14:19:09,1500.3,1520,1537.15,8997330,1500.6
06-01-2020,14:19:13,1500.65,1520,1537.15,8997820,1500.6
06-01-2020,14:19:18,1500.75,1520,1537.15,8998299,1500.6
06-01-2020,14:19:23,1500.3,1520,1537.15,8999346,1500.35
06-01-2020,14:19:28,1500.25,1520,1537.15,9000616,1500.35
06-01-2020,14:19:34,1500.05,1520,1537.15,9005788,1500.35
06-01-2020,14:19:40,1500,1520,1537.15,9007654,1500.35
06-01-2020,14:19:45,1500.25,1520,1537.15,9010786,1500.35
06-01-2020,14:19:51,1500,1520,1537.15,9012471,1500.35
06-01-2020,14:19:57,1500.1,1520,1537.15,9013208,1500.35
06-01-2020,14:20:03,1500.4,1520,1537.15,9015138,1500.35
06-01-2020,14:20:08,1500,1520,1537.15,9021419,1498
06-01-2020,14:20:12,1498.4,1520,1537.15,9069656,1498
06-01-2020,14:20:17,1498.75,1520,1537.15,9076670,1498
06-01-2020,14:20:22,1498.7,1520,1537.15,9078090,1498
06-01-2020,14:20:27,1499.25,1520,1537.15,9083548,1498
06-01-2020,14:20:31,1499.7,1520,1537.15,9085430,1498
06-01-2020,14:20:36,1499.4,1520,1537.15,9092793,1498
06-01-2020,14:20:40,1498.55,1520,1537.15,9095725,1498
06-01-2020,14:20:47,1499.1,1520,1537.15,9098018,1498
06-01-2020,14:20:52,1499.15,1520,1537.15,9103535,1498
06-01-2020,14:20:59,1499.15,1520,1537.15,9104911,1498
06-01-2020,14:21:02,1499.25,1520,1537.15,9108210,1499.2
06-01-2020,14:21:08,1499.35,1520,1537.15,9108535,1499.2
06-01-2020,14:21:13,1499.45,1520,1537.15,9109714,1499.2
06-01-2020,14:21:19,1500,1520,1537.15,9110780,1499.2
06-01-2020,14:21:27,1499.8,1520,1537.15,9114385,1499.2
06-01-2020,14:21:33,1500,1520,1537.15,9117813,1499.2
06-01-2020,14:21:39,1500,1520,1537.15,9121776,1499.2
